timestamp,flow_rate,duration_seconds,hour_of_day,day_of_week,fixture_id,inlet_ratio,rate_variance,is_night_time,pulse_trend,known_anomaly
2026-07-01T02:22:51+08:00,2.32,35,2,2,1,1.107,0.696,1,0.892,0
2026-07-01T05:44:21+08:00,0.07,44288,5,2,1,1.469,0.0,0,0.121,1
2026-07-01T06:04:14+08:00,3.7,121,6,2,0,1.11,0.938,0,0.874,0
2026-07-01T06:07:00+08:00,5.27,450,6,2,0,1.004,1.042,0,0.094,0
2026-07-01T06:22:47+08:00,3.46,25,6,2,1,1.088,0.783,0,0.486,0
2026-07-01T06:22:47+08:00,8.08,231,6,2,2,1.132,1.944,0,-0.175,0
2026-07-01T06:27:33+08:00,8.59,370,6,2,3,1.146,0.645,0,-1.578,0
2026-07-01T06:28:49+08:00,0.51,4675,6,2,0,3.237,0.007,0,0.241,1
2026-07-01T06:34:17+08:00,8.24,199,6,2,2,1.085,2.544,0,0.619,0
2026-07-01T06:40:11+08:00,1.19,68,6,2,1,1.059,0.201,0,0.745,0
2026-07-01T06:53:49+08:00,10.43,316,6,2,0,1.146,3.625,0,0.985,0
2026-07-01T06:54:05+08:00,4.21,28,6,2,2,1.005,0.625,0,0.042,0
2026-07-01T07:12:09+08:00,11.91,756,7,2,3,1.059,3.422,0,-1.235,0
2026-07-01T07:14:11+08:00,10.55,578,7,2,3,1.091,2.19,0,-1.175,0
2026-07-01T07:14:28+08:00,2.76,43,7,2,1,1.011,0.468,0,-1.549,0
2026-07-01T07:18:36+08:00,4.79,345,7,2,0,1.121,1.558,0,-1.736,0
2026-07-01T07:22:15+08:00,2.92,8,7,2,1,1.004,0.735,0,-0.354,0
2026-07-01T07:29:09+08:00,1.94,37,7,2,2,1.013,0.627,0,0.434,0
2026-07-01T07:58:45+08:00,8.15,780,7,2,0,1.036,1.636,0,1.624,0
2026-07-01T08:06:24+08:00,7.65,278,8,2,2,1.137,0.431,0,0.51,0
2026-07-01T08:09:45+08:00,1.89,33,8,2,1,1.054,0.243,0,0.994,0
2026-07-01T08:28:18+08:00,8.93,292,8,2,0,1.066,0.85,0,1.261,0
2026-07-01T08:35:49+08:00,6.23,2281,8,2,3,1.148,0.6,0,1.904,0
2026-07-01T08:38:57+08:00,2.16,123,8,2,1,1.113,0.482,0,-1.213,0
2026-07-01T09:12:12+08:00,10.35,316,9,2,3,1.127,2.322,0,0.403,0
2026-07-01T10:02:24+08:00,10.6,302,10,2,3,1.023,1.799,0,-0.43,0
2026-07-01T10:03:01+08:00,0.95,70,10,2,0,1.143,0.058,0,-0.24,0
2026-07-01T10:05:56+08:00,4.16,160,10,2,0,1.003,0.269,0,0.888,0
2026-07-01T10:24:36+08:00,3.07,11,10,2,1,1.009,0.547,0,-1.531,0
2026-07-01T11:04:05+08:00,2.57,57,11,2,1,1.146,0.894,0,-2.821,0
2026-07-01T11:07:52+08:00,0.09,27,11,2,1,1.017,0.016,0,-2.393,0
2026-07-01T11:27:18+08:00,2.59,57,11,2,1,1.074,0.89,0,0.735,0
2026-07-01T11:42:12+08:00,2.07,146,11,2,1,1.114,0.438,0,0.751,0
2026-07-01T11:44:40+08:00,8.95,133,11,2,0,1.144,1.938,0,0.797,0
2026-07-01T12:02:28+08:00,5.34,126,12,2,2,1.06,0.615,0,0.497,0
