timestamp,flow_rate,duration_seconds,hour_of_day,day_of_week,fixture_id,inlet_ratio,rate_variance,is_night_time,pulse_trend,label
2026-07-01T01:43:11+08:00,6.9,128,1,2,3,1.138,1.606,1,2.342,0
2026-07-01T02:34:38+08:00,23.73,423,2,2,2,1.018,1.23,1,0.146,2
2026-07-01T03:04:29+08:00,0.11,1714,3,2,2,1.057,0.005,1,-0.286,1
2026-07-01T04:09:43+08:00,0.11,747,4,2,1,1.012,0.003,1,-0.145,1
2026-07-01T04:13:02+08:00,6.17,487,4,2,2,1.067,0.994,1,-0.154,0
2026-07-01T05:04:16+08:00,0.44,5637,5,2,2,1.078,0.016,0,-0.08,1
2026-07-01T06:09:50+08:00,8.69,221,6,2,2,1.001,2.805,0,-1.51,0
2026-07-01T06:18:28+08:00,6.44,160,6,2,0,1.021,1.368,0,-0.517,0
2026-07-01T06:37:15+08:00,4.3,28,6,2,2,1.074,0.825,0,-2.344,0
2026-07-01T06:39:59+08:00,9.02,38,6,2,2,1.013,2.715,0,-0.992,0
2026-07-01T06:59:04+08:00,12.77,1227,6,2,3,1.055,3.482,0,0.358,0
2026-07-01T07:26:09+08:00,8.28,241,7,2,0,1.073,2.098,0,-1.396,0
2026-07-01T07:31:59+08:00,7.91,170,7,2,2,1.119,1.219,0,1.492,0
2026-07-01T07:41:46+08:00,1.77,31,7,2,1,1.047,0.295,0,0.721,0
2026-07-01T07:45:19+08:00,24.7,175,7,2,3,1.136,1.217,0,0.713,2
2026-07-01T07:53:50+08:00,0.48,2398,7,2,1,1.039,0.008,0,0.003,1
2026-07-01T07:59:19+08:00,4.05,41,7,2,2,1.123,1.376,0,-1.243,0
2026-07-01T08:09:23+08:00,1.85,60,8,2,0,1.025,0.539,0,0.351,0
2026-07-01T08:13:30+08:00,9.92,161,8,2,3,1.122,2.567,0,0.338,0
2026-07-01T08:19:30+08:00,5.93,138,8,2,2,1.027,1.917,0,1.514,0
2026-07-01T08:19:58+08:00,8.18,111,8,2,0,1.128,1.645,0,-1.178,0
